Illumina_index_set,Illumina_source_well,Lib_plate_name,Lib_plate_ID,Lib_plate_well,Primer_volume_(uL)
PE18,A5,BP9735_FULL.1,hXUPVQ-6,B9,2
PE18,B5,BP9735_FULL.1,hXUPVQ-6,D9,2
PE18,C5,BP9735_FULL.1,hXUPVQ-6,F9,2
PE18,D5,BP9735_FULL.1,hXUPVQ-6,H9,2
PE18,E5,BP9735_FULL.1,hXUPVQ-6,J9,2
PE18,F5,BP9735_FULL.1,hXUPVQ-6,L9,2
PE18,G5,BP9735_FULL.1,hXUPVQ-6,N9,2
PE18,H5,BP9735_FULL.1,hXUPVQ-6,P9,2
PE18,A6,BP9735_FULL.1,hXUPVQ-6,B11,2
PE18,B6,BP9735_FULL.1,hXUPVQ-6,D11,2
PE18,C6,BP9735_FULL.1,hXUPVQ-6,F11,2
PE18,D6,BP9735_FULL.1,hXUPVQ-6,H11,2
PE18,E6,BP9735_FULL.1,hXUPVQ-6,J11,2
PE18,F6,BP9735_FULL.1,hXUPVQ-6,L11,2
PE18,G6,BP9735_FULL.1,hXUPVQ-6,N11,2
PE18,H6,BP9735_FULL.1,hXUPVQ-6,P11,2
PE18,A7,BP9735_FULL.1,hXUPVQ-6,B13,2
PE18,B7,BP9735_FULL.1,hXUPVQ-6,D13,2
PE18,C7,BP9735_FULL.1,hXUPVQ-6,F13,2
PE18,D7,BP9735_FULL.1,hXUPVQ-6,H13,2
PE18,E7,BP9735_FULL.1,hXUPVQ-6,J13,2
PE18,F7,BP9735_FULL.1,hXUPVQ-6,L13,2
PE18,G7,BP9735_FULL.1,hXUPVQ-6,N13,2
PE18,H7,BP9735_FULL.1,hXUPVQ-6,P13,2
PE18,A8,BP9735_FULL.1,hXUPVQ-6,B15,2
PE18,B8,BP9735_FULL.1,hXUPVQ-6,D15,2
PE18,C8,BP9735_FULL.1,hXUPVQ-6,F15,2
PE18,D8,BP9735_FULL.1,hXUPVQ-6,H15,2
PE18,E8,BP9735_FULL.1,hXUPVQ-6,J15,2
PE18,F8,BP9735_FULL.1,hXUPVQ-6,L15,2
PE18,G8,BP9735_FULL.1,hXUPVQ-6,N15,2
PE18,H8,BP9735_FULL.1,hXUPVQ-6,P15,2
PE18,A9,BP9735_FULL.1,hXUPVQ-6,B17,2
PE18,B9,BP9735_FULL.1,hXUPVQ-6,D17,2
PE18,C9,BP9735_FULL.1,hXUPVQ-6,F17,2
PE18,D9,BP9735_FULL.1,hXUPVQ-6,H17,2
PE18,E9,BP9735_FULL.1,hXUPVQ-6,J17,2
PE18,F9,BP9735_FULL.1,hXUPVQ-6,L17,2
PE18,G9,BP9735_FULL.1,hXUPVQ-6,N17,2
PE18,H9,BP9735_FULL.1,hXUPVQ-6,P17,2
PE18,A10,BP9735_FULL.1,hXUPVQ-6,B19,2
PE18,B10,BP9735_FULL.1,hXUPVQ-6,D19,2
PE18,C10,BP9735_FULL.1,hXUPVQ-6,F19,2
PE18,D10,BP9735_FULL.1,hXUPVQ-6,H19,2
PE18,E10,BP9735_FULL.1,hXUPVQ-6,J19,2
PE18,F10,BP9735_FULL.1,hXUPVQ-6,L19,2
PE18,G10,BP9735_FULL.1,hXUPVQ-6,N19,2
PE18,H10,BP9735_FULL.1,hXUPVQ-6,P19,2
PE18,A11,BP9735_FULL.1,hXUPVQ-6,B21,2
PE18,B11,BP9735_FULL.1,hXUPVQ-6,D21,2
PE18,C11,BP9735_FULL.1,hXUPVQ-6,F21,2
PE18,D11,BP9735_FULL.1,hXUPVQ-6,H21,2
PE18,E11,BP9735_FULL.1,hXUPVQ-6,J21,2
PE18,F11,BP9735_FULL.1,hXUPVQ-6,L21,2
PE18,G11,BP9735_FULL.1,hXUPVQ-6,N21,2
