Plate_ID,Well_Row,Well_Col,Well,Sample,Type,number_of_cells/capsules,Group_1,Group_2,Group_3
BP9735_FULL.1,G,19,G19,FULL,sample,1,dim,,
BP9735_FULL.1,H,19,H19,FULL,sample,1,dim,,
BP9735_FULL.1,I,19,I19,FULL,sample,1,dim,,
BP9735_FULL.1,J,19,J19,FULL,sample,1,dim,,
BP9735_FULL.1,K,19,K19,FULL,sample,1,dim,,
BP9735_FULL.1,L,19,L19,FULL,sample,1,dim,,
BP9735_FULL.1,M,19,M19,FULL,sample,1,dim,,
BP9735_FULL.1,N,19,N19,FULL,sample,1,dim,,
BP9735_FULL.1,O,19,O19,FULL,sample,1,dim,,
BP9735_FULL.1,P,19,P19,FULL,sample,1,dim,,
BP9735_FULL.1,A,20,A20,FULL,sample,1,dim,,
BP9735_FULL.1,B,20,B20,FULL,sample,1,dim,,
BP9735_FULL.1,C,20,C20,FULL,sample,1,dim,,
BP9735_FULL.1,D,20,D20,FULL,sample,1,dim,,
BP9735_FULL.1,E,20,E20,FULL,sample,1,dim,,
BP9735_FULL.1,F,20,F20,FULL,sample,1,dim,,
BP9735_FULL.1,G,20,G20,FULL,sample,1,dim,,
BP9735_FULL.1,H,20,H20,FULL,sample,1,dim,,
BP9735_FULL.1,I,20,I20,FULL,sample,1,dim,,
BP9735_FULL.1,J,20,J20,FULL,sample,1,dim,,
BP9735_FULL.1,K,20,K20,FULL,sample,1,dim,,
BP9735_FULL.1,L,20,L20,FULL,sample,1,dim,,
BP9735_FULL.1,M,20,M20,FULL,sample,1,dim,,
BP9735_FULL.1,N,20,N20,FULL,sample,1,dim,,
BP9735_FULL.1,O,20,O20,FULL,sample,1,dim,,
BP9735_FULL.1,P,20,P20,FULL,sample,1,dim,,
BP9735_FULL.1,A,21,A21,FULL,sample,1,dim,,
BP9735_FULL.1,B,21,B21,FULL,sample,1,dim,,
BP9735_FULL.1,C,21,C21,FULL,sample,1,dim,,
BP9735_FULL.1,D,21,D21,FULL,sample,1,dim,,
BP9735_FULL.1,E,21,E21,FULL,sample,1,dim,,
BP9735_FULL.1,F,21,F21,FULL,sample,1,dim,,
BP9735_FULL.1,G,21,G21,FULL,sample,1,dim,,
BP9735_FULL.1,H,21,H21,FULL,sample,1,dim,,
BP9735_FULL.1,I,21,I21,FULL,sample,1,dim,,
BP9735_FULL.1,J,21,J21,FULL,sample,1,dim,,
BP9735_FULL.1,K,21,K21,FULL,sample,1,dim,,
BP9735_FULL.1,L,21,L21,FULL,sample,1,dim,,
BP9735_FULL.1,M,21,M21,FULL,sample,1,dim,,
BP9735_FULL.1,N,21,N21,FULL,sample,1,dim,,
BP9735_FULL.1,O,21,O21,FULL,sample,1,dim,,
BP9735_FULL.1,P,21,P21,FULL,sample,1,dim,,
BP9735_FULL.1,A,22,A22,FULL,sample,1,dim,,
BP9735_FULL.1,B,22,B22,FULL,sample,1,dim,,
BP9735_FULL.1,C,22,C22,FULL,sample,1,dim,,
BP9735_FULL.1,D,22,D22,FULL,sample,1,dim,,
BP9735_FULL.1,E,22,E22,FULL,sample,1,dim,,
BP9735_FULL.1,F,22,F22,FULL,sample,1,dim,,
BP9735_FULL.1,G,22,G22,FULL,sample,1,dim,,
BP9735_FULL.1,H,22,H22,FULL,sample,1,dim,,
BP9735_FULL.1,I,22,I22,FULL,sample,1,dim,,
BP9735_FULL.1,J,22,J22,FULL,sample,1,dim,,
BP9735_FULL.1,K,22,K22,FULL,sample,1,dim,,
BP9735_FULL.1,L,22,L22,FULL,sample,1,dim,,
BP9735_FULL.1,M,22,M22,FULL,sample,1,dim,,
BP9735_FULL.1,N,22,N22,FULL,sample,1,dim,,
BP9735_FULL.1,O,22,O22,FULL,sample,1,dim,,
BP9735_FULL.1,P,22,P22,FULL,sample,1,dim,,
BP9735_FULL.1,A,23,A23,FULL,sample,1,dim,,
BP9735_FULL.1,B,23,B23,FULL,sample,1,dim,,
BP9735_FULL.1,C,23,C23,FULL,sample,1,dim,,
BP9735_FULL.1,D,23,D23,FULL,sample,1,dim,,
BP9735_FULL.1,E,23,E23,FULL,sample,1,dim,,
BP9735_FULL.1,F,23,F23,FULL,sample,1,dim,,
BP9735_FULL.1,G,23,G23,FULL,sample,1,dim,,
BP9735_FULL.1,H,23,H23,FULL,sample,1,dim,,
BP9735_FULL.1,I,23,I23,FULL,sample,1,dim,,
BP9735_FULL.1,J,23,J23,FULL,sample,1,dim,,
BP9735_FULL.1,K,23,K23,FULL,sample,1,dim,,
BP9735_FULL.1,L,23,L23,FULL,sample,1,dim,,
BP9735_FULL.1,M,23,M23,FULL,sample,1,dim,,
BP9735_FULL.1,N,23,N23,FULL,sample,1,dim,,
BP9735_FULL.1,O,23,O23,FULL,sample,1,dim,,
BP9735_FULL.1,P,23,P23,FULL,sample,1,dim,,
BP9735_FULL.1,A,24,A24,FULL,neg_cntrl,0,empty,,
BP9735_FULL.1,B,24,B24,FULL,neg_cntrl,0,empty,,
BP9735_FULL.1,C,24,C24,FULL,neg_cntrl,0,empty,,
BP9735_FULL.1,D,24,D24,FULL,neg_cntrl,0,empty,,
BP9735_FULL.1,E,24,E24,FULL,neg_cntrl,0,empty,,
