Plate_ID,Well,Sample,Type,number_of_cells/capsules,Group_1,Group_2,Group_3,Index_Set,Index_Well,Index_Name,Plate_Barcode,FA_Well,dilution_factor,ng/uL,nmole/L,Avg. Size,Passed_library,Failed_index_sets,Redo_whole_plate,selected_for_pooling
BP9735_SitukAM.1,J5,,unused,,,,,,,,XUPVQ-1,,,,,,,,,0
BP9735_SitukAM.1,K5,SitukAM,sample,1.0,Bright,,,PE18,F3,PE18_F03,XUPVQ-1,F3,20.0,9.826,26.596,608.0,1.0,[],0.0,1
BP9735_SitukAM.1,L5,,unused,,,,,,,,XUPVQ-1,,,,,,,,,0
BP9735_SitukAM.1,M5,SitukAM,sample,1.0,Bright,,,PE18,G3,PE18_G03,XUPVQ-1,G3,20.0,1.8,4.66,636.0,1.0,[],0.0,1
BP9735_SitukAM.1,N5,,unused,,,,,,,,XUPVQ-1,,,,,,,,,0
BP9735_SitukAM.1,O5,SitukAM,sample,1.0,Bright,,,PE18,H3,PE18_H03,XUPVQ-1,H3,20.0,4.208,11.346,610.0,1.0,[],0.0,1
BP9735_SitukAM.1,P5,,unused,,,,,,,,XUPVQ-1,,,,,,,,,0
BP9735_SitukAM.1,A6,,unused,,,,,,,,XUPVQ-1,,,,,,,,,0
BP9735_SitukAM.1,B6,,unused,,,,,,,,XUPVQ-1,,,,,,,,,0
BP9735_SitukAM.1,C6,,unused,,,,,,,,XUPVQ-1,,,,,,,,,0
BP9735_SitukAM.1,D6,,unused,,,,,,,,XUPVQ-1,,,,,,,,,0
BP9735_SitukAM.1,E6,,unused,,,,,,,,XUPVQ-1,,,,,,,,,0
BP9735_SitukAM.1,F6,,unused,,,,,,,,XUPVQ-1,,,,,,,,,0
BP9735_SitukAM.1,G6,,unused,,,,,,,,XUPVQ-1,,,,,,,,,0
BP9735_SitukAM.1,H6,,unused,,,,,,,,XUPVQ-1,,,,,,,,,0
BP9735_SitukAM.1,I6,,unused,,,,,,,,XUPVQ-1,,,,,,,,,0
BP9735_SitukAM.1,J6,,unused,,,,,,,,XUPVQ-1,,,,,,,,,0
BP9735_SitukAM.1,K6,,unused,,,,,,,,XUPVQ-1,,,,,,,,,0
BP9735_SitukAM.1,L6,,unused,,,,,,,,XUPVQ-1,,,,,,,,,0
BP9735_SitukAM.1,M6,,unused,,,,,,,,XUPVQ-1,,,,,,,,,0
BP9735_SitukAM.1,N6,,unused,,,,,,,,XUPVQ-1,,,,,,,,,0
BP9735_SitukAM.1,O6,,unused,,,,,,,,XUPVQ-1,,,,,,,,,0
BP9735_SitukAM.1,P6,,unused,,,,,,,,XUPVQ-1,,,,,,,,,0
BP9735_SitukAM.1,A7,SitukAM,sample,1.0,Bright,,,PE18,A4,PE18_A04,XUPVQ-1,A4,20.0,4.352,11.806,607.0,1.0,[],0.0,1
BP9735_SitukAM.1,B7,,unused,,,,,,,,XUPVQ-1,,,,,,,,,0
BP9735_SitukAM.1,C7,SitukAM,sample,1.0,Bright,,,PE18,B4,PE18_B04,XUPVQ-1,B4,20.0,2.714,7.06,633.0,1.0,[],0.0,1
BP9735_SitukAM.1,D7,,unused,,,,,,,,XUPVQ-1,,,,,,,,,0
BP9735_SitukAM.1,E7,SitukAM,sample,1.0,Bright,,,PE18,C4,PE18_C04,XUPVQ-1,C4,20.0,7.178,19.516,605.0,1.0,[],0.0,1
BP9735_SitukAM.1,F7,,unused,,,,,,,,XUPVQ-1,,,,,,,,,0
BP9735_SitukAM.1,G7,SitukAM,sample,1.0,Bright,,,PE18,D4,PE18_D04,XUPVQ-1,D4,20.0,5.788,15.616,610.0,1.0,[],0.0,1
BP9735_SitukAM.1,H7,,unused,,,,,,,,XUPVQ-1,,,,,,,,,0
BP9735_SitukAM.1,I7,SitukAM,sample,1.0,Bright,,,PE18,E4,PE18_E04,XUPVQ-1,E4,20.0,4.774,13.054,602.0,1.0,[],0.0,1
BP9735_SitukAM.1,J7,,unused,,,,,,,,XUPVQ-1,,,,,,,,,0
BP9735_SitukAM.1,K7,SitukAM,sample,1.0,Bright,,,PE18,F4,PE18_F04,XUPVQ-1,F4,20.0,5.362,14.65,602.0,1.0,[],0.0,1
BP9735_SitukAM.1,L7,,unused,,,,,,,,XUPVQ-1,,,,,,,,,0
BP9735_SitukAM.1,M7,SitukAM,sample,1.0,Bright,,,PE18,G4,PE18_G04,XUPVQ-1,G4,20.0,0.506,1.304,639.0,0.0,[],0.0,0
BP9735_SitukAM.1,N7,,unused,,,,,,,,XUPVQ-1,,,,,,,,,0
BP9735_SitukAM.1,O7,SitukAM,sample,1.0,Bright,,,PE18,H4,PE18_H04,XUPVQ-1,H4,20.0,1.802,4.818,616.0,1.0,[],0.0,1
BP9735_SitukAM.1,P7,,unused,,,,,,,,XUPVQ-1,,,,,,,,,0
BP9735_SitukAM.1,A8,,unused,,,,,,,,XUPVQ-1,,,,,,,,,0
BP9735_SitukAM.1,B8,,unused,,,,,,,,XUPVQ-1,,,,,,,,,0
BP9735_SitukAM.1,C8,,unused,,,,,,,,XUPVQ-1,,,,,,,,,0
BP9735_SitukAM.1,D8,,unused,,,,,,,,XUPVQ-1,,,,,,,,,0
BP9735_SitukAM.1,E8,,unused,,,,,,,,XUPVQ-1,,,,,,,,,0
BP9735_SitukAM.1,F8,,unused,,,,,,,,XUPVQ-1,,,,,,,,,0
BP9735_SitukAM.1,G8,,unused,,,,,,,,XUPVQ-1,,,,,,,,,0
BP9735_SitukAM.1,H8,,unused,,,,,,,,XUPVQ-1,,,,,,,,,0
BP9735_SitukAM.1,I8,,unused,,,,,,,,XUPVQ-1,,,,,,,,,0
BP9735_SitukAM.1,J8,,unused,,,,,,,,XUPVQ-1,,,,,,,,,0
BP9735_SitukAM.1,K8,,unused,,,,,,,,XUPVQ-1,,,,,,,,,0
