Library_Plate_Barcode,Dilution_Plate_Barcode,FA_Plate_Barcode,Library_Well,FA_Well,Nextera_Vol_Add,Dilution_Vol,FA_Vol_Add,Dilution_Plate_Preload,Total_buffer_aspiration
hXUPVQ-3,XUPVQ-3D,XUPVQ-3F,C19,B10,30,2.4,2.4,10,40
hXUPVQ-3,XUPVQ-3D,XUPVQ-3F,E19,C10,30,2.4,2.4,10,40
hXUPVQ-3,XUPVQ-3D,XUPVQ-3F,G19,D10,30,2.4,2.4,10,40
hXUPVQ-3,XUPVQ-3D,XUPVQ-3F,I19,E10,30,2.4,2.4,10,40
hXUPVQ-3,XUPVQ-3D,XUPVQ-3F,K19,F10,30,2.4,2.4,10,40
hXUPVQ-3,XUPVQ-3D,XUPVQ-3F,M19,G10,30,2.4,2.4,10,40
hXUPVQ-3,XUPVQ-3D,XUPVQ-3F,O19,H10,30,2.4,2.4,10,40
hXUPVQ-3,XUPVQ-3D,XUPVQ-3F,A21,A11,30,2.4,2.4,10,40
hXUPVQ-3,XUPVQ-3D,XUPVQ-3F,C21,B11,30,2.4,2.4,10,40
hXUPVQ-3,XUPVQ-3D,XUPVQ-3F,E21,C11,30,2.4,2.4,10,40
hXUPVQ-3,XUPVQ-3D,XUPVQ-3F,G21,D11,30,2.4,2.4,10,40
hXUPVQ-3,XUPVQ-3D,XUPVQ-3F,I21,E11,30,2.4,2.4,10,40
hXUPVQ-3,XUPVQ-3D,XUPVQ-3F,K21,F11,30,2.4,2.4,10,40
hXUPVQ-3,XUPVQ-3D,XUPVQ-3F,M21,G11,30,2.4,2.4,10,40
hXUPVQ-3,XUPVQ-3D,XUPVQ-3F,O21,H11,30,2.4,2.4,10,40
hXUPVQ-3,XUPVQ-3D,XUPVQ-3F,A23,A12,30,2.4,2.4,10,40
hXUPVQ-3,XUPVQ-3D,XUPVQ-3F,C23,B12,30,2.4,2.4,10,40
hXUPVQ-3,XUPVQ-3D,XUPVQ-3F,E23,C12,30,2.4,2.4,10,40
hXUPVQ-3,XUPVQ-3D,XUPVQ-3F,G23,D12,30,2.4,2.4,10,40
