Plate_ID,Well_Row,Well_Col,Well,Sample,Type,number_of_cells/capsules,Group_1,Group_2,Group_3
,J,18,J18,,unused,,,,
,K,18,K18,,unused,,,,
,L,18,L18,,unused,,,,
,M,18,M18,,unused,,,,
,N,18,N18,,unused,,,,
,O,18,O18,,unused,,,,
,P,18,P18,,unused,,,,
,A,19,A19,,sample,1,,,
,B,19,B19,,unused,,,,
,C,19,C19,,sample,1,,,
,D,19,D19,,unused,,,,
,E,19,E19,,sample,1,,,
,F,19,F19,,unused,,,,
,G,19,G19,,sample,1,,,
,H,19,H19,,unused,,,,
,I,19,I19,,sample,1,,,
,J,19,J19,,unused,,,,
,K,19,K19,,sample,1,,,
,L,19,L19,,unused,,,,
,M,19,M19,,sample,1,,,
,N,19,N19,,unused,,,,
,O,19,O19,,sample,1,,,
,P,19,P19,,unused,,,,
,A,20,A20,,unused,,,,
,B,20,B20,,unused,,,,
,C,20,C20,,unused,,,,
,D,20,D20,,unused,,,,
,E,20,E20,,unused,,,,
,F,20,F20,,unused,,,,
,G,20,G20,,unused,,,,
,H,20,H20,,unused,,,,
,I,20,I20,,unused,,,,
,J,20,J20,,unused,,,,
,K,20,K20,,unused,,,,
,L,20,L20,,unused,,,,
,M,20,M20,,unused,,,,
,N,20,N20,,unused,,,,
,O,20,O20,,unused,,,,
,P,20,P20,,unused,,,,
,A,21,A21,,sample,1,,,
,B,21,B21,,unused,,,,
,C,21,C21,,sample,1,,,
,D,21,D21,,unused,,,,
,E,21,E21,,sample,1,,,
,F,21,F21,,unused,,,,
,G,21,G21,,sample,1,,,
,H,21,H21,,unused,,,,
,I,21,I21,,sample,1,,,
,J,21,J21,,unused,,,,
,K,21,K21,,sample,1,,,
,L,21,L21,,unused,,,,
,M,21,M21,,sample,1,,,
,N,21,N21,,unused,,,,
,O,21,O21,,sample,1,,,
,P,21,P21,,unused,,,,
,A,22,A22,,unused,,,,
,B,22,B22,,unused,,,,
,C,22,C22,,unused,,,,
,D,22,D22,,unused,,,,
,E,22,E22,,unused,,,,
,F,22,F22,,unused,,,,
,G,22,G22,,unused,,,,
,H,22,H22,,unused,,,,
,I,22,I22,,unused,,,,
,J,22,J22,,unused,,,,
,K,22,K22,,unused,,,,
,L,22,L22,,unused,,,,
,M,22,M22,,unused,,,,
,N,22,N22,,unused,,,,
,O,22,O22,,unused,,,,
,P,22,P22,,unused,,,,
,A,23,A23,,neg_cntrl,0,Reagent_only,,
,B,23,B23,,unused,,,,
,C,23,C23,,neg_cntrl,0,Reagent_only,,
,D,23,D23,,unused,,,,
,E,23,E23,,pos_cntrl,,DNA,,
,F,23,F23,,unused,,,,
,G,23,G23,,pos_cntrl,,DNA,,
,H,23,H23,,unused,,,,
,I,23,I23,,unused,,,,
,J,23,J23,,unused,,,,
,K,23,K23,,unused,,,,
,L,23,L23,,unused,,,,
,M,23,M23,,unused,,,,
,N,23,N23,,unused,,,,
,O,23,O23,,unused,,,,
,P,23,P23,,unused,,,,
,A,24,A24,,unused,,,,
,B,24,B24,,unused,,,,
,C,24,C24,,unused,,,,
,D,24,D24,,unused,,,,
,E,24,E24,,unused,,,,
,F,24,F24,,unused,,,,
,G,24,G24,,unused,,,,
,H,24,H24,,unused,,,,
,I,24,I24,,unused,,,,
,J,24,J24,,unused,,,,
,K,24,K24,,unused,,,,
,L,24,L24,,unused,,,,
,M,24,M24,,unused,,,,
,N,24,N24,,unused,,,,
,O,24,O24,,unused,,,,
,P,24,P24,,unused,,,,
